Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,geometry,index_right,HYBAS_ID,year_month,blue,green,red,nir08,swir16,swir22,NDMI,MNDWI,NDVI,EVI,SAVI,NMDI,FAI,turbidity,NDWI,red_green,swir_nir,swir2_nir,NDTI,BSI,AWEI,SI,blue,green,red,nir08,swir16,swir22,NDMI,MNDWI,NDVI,EVI,SAVI,NMDI,FAI,turbidity,NDWI,red_green,swir_nir,swir2_nir,NDTI,BSI,AWEI,SI
-28.141944,26.417778,2011-01-04,94.718,227.9,132.0,POINT (26.417778 -28.141944),5569,1091620130,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.398611,26.614722,2011-01-04,86.8,226.3,114.0,POINT (26.614722 -27.398611),5614,1091613580,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.501667,21.624167,2011-01-04,201.0,769.0,74.0,POINT (21.624167 -33.501667),2608,1091658340,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.502778,19.535833,2011-01-04,10.387,73.0,10.0,POINT (19.535833 -32.502778),3051,1091651680,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.45963889,28.26430556,2011-01-04,108.94,396.0,82.0,POINT (28.26430556 -25.45963889),1043,1091591390,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.495556,26.074722,2011-01-04,67.8,218.6,91.0,POINT (26.074722 -27.495556),5539,1091615560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.648056,27.089444,2011-01-05,211.0,532.0,62.0,POINT (27.089444 -26.648056),5787,1091606940,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.970278,27.211111,2011-01-05,71.5,248.4,117.0,POINT (27.211111 -26.970278),5761,1091608480,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.38972222,26.46388889,2011-01-05,82.14,255.5,74.0,POINT (26.46388889 -27.38972222),5592,1091613540,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.044444,27.005,2011-01-05,83.0,220.9,85.0,POINT (27.005 -27.044444),5743,1091609740,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.830556,26.921389,2011-01-06,62.099,145.0,10.0,POINT (26.921389 -30.830556),5588,1091642520,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00222,28.76528,2011-01-06,34.855,114.5,150.0,POINT (28.76528 -27.00222),6016,1091609690,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02314,28.59389,2011-01-06,41.408,148.8,152.0,POINT (28.59389 -27.02314),6003,1091610552,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.679722,26.7125,2011-01-06,55.297,138.3,44.0,POINT (26.7125 -30.679722),5510,1091641150,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.160091,27.40124,2011-01-06,57.916,167.1,13.0,POINT (27.40124 -30.160091),5711,1091638740,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.595833,19.009444,2011-01-06,8.621,63.1,19.0,POINT (19.009444 -32.595833),3021,1091653130,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.99136,27.84208,2011-01-10,82.432,283.8,32.0,POINT (27.84208 -25.99136),1087,1091598610,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.73806,27.59194,2011-01-10,55.3,189.1,105.0,POINT (27.59194 -26.73806),5877,1091607450,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.45,28.085833,2011-01-10,105.711,635.0,80.0,POINT (28.085833 -26.45),5926,1091606270,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.86013889,29.07125,2011-01-10,40.861,95.6,10.0,POINT (29.07125 -30.86013889),1886,1091643410,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,7830.0,8247.0,8002.0,11256.0,9924.0,8562.0,0.06288951841359744,-0.09228991249793578,0.16896874026378647,14.954044117647058,0.25344653010359064,0.13462704669496528,1.693028025329113e-06,0.831015719467948,-0.15428395631441316,0.9702922274766465,0.8816631130063888,0.7606609808102278,-0.015077850944673425,-0.03134118664217002,-33067.5,1.2033466715169006
-27.356667,27.286389,2011-01-10,64.1,164.0,151.0,POINT (27.286389 -27.356667),5801,1091612560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01011111,26.69808333,2011-01-11,66.1,203.4,131.0,POINT (26.69808333 -27.01011111),5690,1091610030,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.73411,27.21422,2011-01-11,8.0,34.04,56.0,POINT (27.21422 -25.73411),1053,1091596821,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.98472222,26.63227778,2011-01-11,128.0,196.7,158.0,POINT (26.63227778 -26.98472222),5692,1091609920,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.398611,26.614722,2011-01-11,71.6,190.6,127.0,POINT (26.614722 -27.398611),5614,1091613580,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,2011-01-11,75.096,275.7,71.0,POINT (27.236944 -27.671111),5748,1091616320,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.160278,26.573333,2011-01-11,120.27,177.3,10.0,POINT (26.573333 -29.160278),5378,1091629810,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.250556,20.9925,2011-01-11,26.8,304.5,12.0,POINT (20.9925 -34.250556),2789,1091660350,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,8636.0,9151.0,9441.0,11778.0,12851.0,11259.0,-0.04356652726460659,-0.1681665303154251,0.1101371412413403,1.5984952120383038,0.16520181908150522,-0.1053406636559974,6.853369995951653e-07,0.7120846626721601,-0.1255196139328205,1.0316905256256035,1.0911020546782044,0.95593479368313,0.015598106712564461,0.043975085468084006,-48706.75,1.4043273959129996
-25.45963889,28.26430556,2011-01-11,132.0,489.0,82.0,POINT (28.26430556 -25.45963889),1043,1091591390,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.81048333,27.90955222,2011-01-12,131.0,584.0,10.0,POINT (27.90955222 -25.81048333),1068,1091597252,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.273889,28.49,2011-01-12,49.114,136.6,32.0,POINT (28.49 -27.273889),6005,1091612082,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.4275,28.525833,2011-01-12,62.326,163.9,45.0,POINT (28.525833 -27.4275),6015,1091612970,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.883333,27.89,2011-01-12,117.44,271.7,10.0,POINT (27.89 -28.883333),5871,1091627980,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00222,28.76528,2011-01-13,63.848,190.9,62.0,POINT (28.76528 -27.00222),6016,1091609690,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02314,28.59389,2011-01-13,62.806,192.7,35.0,POINT (28.59389 -27.02314),6003,1091610552,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.534167,24.961944,2011-01-13,100.962,142.6,80.0,POINT (24.961944 -30.534167),5057,1091640082,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.460833,21.248889,2011-01-13,102.898,353.0,51.0,POINT (21.248889 -28.460833),3688,1091624350,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.658056,25.973333,2011-01-14,86.742,107.0,85.0,POINT (25.973333 -29.658056),5304,1091633660,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.760833,17.730278,2011-01-16,95.398,297.2,64.0,POINT (17.730278 -28.760833),3307,1091626650,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.513889,31.224444,2011-01-17,63.165,155.5,11.0,POINT (31.224444 -25.513889),1220,1091594960,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.861111,28.884722,2011-01-17,101.685,315.4,114.0,POINT (28.884722 -26.861111),6020,1091609140,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.554722,29.245556,2011-01-17,58.2,197.2,12.0,POINT (29.245556 -31.554722),1943,1090013660,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.058889,30.373611,2011-01-17,58.0,220.0,100.0,POINT (30.373611 -28.058889),1683,1091619950,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.127778,27.628889,2011-01-18,131.0,415.0,163.0,POINT (27.628889 -25.127778),934,1091590040,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.20639,27.558,2011-01-18,102.0,516.0,90.0,POINT (27.558 -25.20639),938,1091590110,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.69514,27.40906,2011-01-18,124.0,509.0,158.0,POINT (27.40906 -24.69514),867,1091584200,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.681111,31.783333,2011-01-18,53.322,247.7,10.0,POINT (31.783333 -25.681111),1193,1091596150,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.802778,28.768333,2011-01-18,41.891,116.9,23.0,POINT (28.768333 -27.802778),6073,1091616890,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.398611,26.614722,2011-01-18,133.319,323.7,139.0,POINT (26.614722 -27.398611),5614,1091613580,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.104278,29.399722,2011-01-18,52.984,129.0,10.0,POINT (29.399722 -31.104278),1875,1091644850,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.396,29.2651,2011-01-18,35.741,89.2,10.0,POINT (29.2651 -31.396),1869,1090013640,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.38056,19.30167,2011-01-18,32.968,174.3,41.0,POINT (19.30167 -33.38056),2848,1091658222,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.31388889,19.07472222,2011-01-18,30.257,208.2,23.0,POINT (19.07472222 -33.31388889),2925,1091656820,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.495556,26.074722,2011-01-18,176.0,458.0,91.0,POINT (26.074722 -27.495556),5539,1091615560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.39619444,27.08983333,2011-01-19,120.0,508.0,142.0,POINT (27.08983333 -24.39619444),817,1091579500,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.970278,27.211111,2011-01-19,63.9,202.4,101.0,POINT (27.211111 -26.970278),5761,1091608480,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.880278,26.965,2011-01-19,235.0,593.0,176.0,POINT (26.965 -26.880278),5760,1091608460,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.273889,28.49,2011-01-19,63.114,149.5,11.0,POINT (28.49 -27.273889),6005,1091612082,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.3,28.586944,2011-01-19,59.091,150.3,16.0,POINT (28.586944 -27.3),6014,1091612920,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.044444,27.005,2011-01-19,83.5,225.2,102.0,POINT (27.005 -27.044444),5743,1091609740,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.568333,29.422778,2011-01-19,40.9,109.3,12.0,POINT (29.422778 -30.568333),1914,1091640470,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.570833,29.150556,2011-01-19,40.72,90.6,10.0,POINT (29.150556 -30.570833),1909,1091641850,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.031944,22.053333,2011-01-19,17.64,266.5,10.0,POINT (22.053333 -34.031944),2585,1090014870,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.13083,18.86278,2011-01-19,19.323,117.3,35.0,POINT (18.86278 -33.13083),2921,1091655860,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.7075,18.97444444,2011-01-19,7.891,78.6,27.0,POINT (18.97444444 -33.7075),2933,1091658401,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.57877778,29.12747222,2011-01-19,58.232,231.7,10.0,POINT (29.12747222 -25.57877778),522,1091595420,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.006389,29.253889,2011-01-20,77.092,367.0,14.0,POINT (29.253889 -26.006389),583,1091599781,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02314,28.59389,2011-01-20,94.557,254.9,15.0,POINT (28.59389 -27.02314),6003,1091610552,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.679722,26.7125,2011-01-20,73.862,158.9,10.0,POINT (26.7125 -30.679722),5510,1091641150,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.460833,21.248889,2011-01-20,85.7,259.1,29.0,POINT (21.248889 -28.460833),3688,1091624350,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.77586667,29.03221667,2011-01-20,40.9,110.2,12.0,POINT (29.03221667 -30.77586667),1901,1091642440,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.925278,29.324444,2011-01-21,85.636,381.0,59.0,POINT (29.324444 -24.925278),378,1091586850,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.460833,21.248889,2011-01-21,81.0,243.2,43.0,POINT (21.248889 -28.460833),3688,1091624350,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.679167,30.8025,2011-01-24,24.95,99.6,10.0,POINT (30.8025 -24.679167),164,1092269310,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.99136,27.84208,2011-01-24,90.9,324.2,32.0,POINT (27.84208 -25.99136),1087,1091598610,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.49037,30.6986,2011-01-24,36.957,124.5,10.0,POINT (30.6986 -25.49037),1249,1091594090,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.970278,27.211111,2011-01-24,76.24,287.3,96.0,POINT (27.211111 -26.970278),5761,1091608480,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,2011-01-24,47.184,142.9,129.0,POINT (27.236944 -27.671111),5748,1091616320,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.356667,27.286389,2011-01-24,87.25,208.7,123.0,POINT (27.286389 -27.356667),5801,1091612560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01011111,26.69808333,2011-01-25,77.006,299.3,125.0,POINT (26.69808333 -27.01011111),5690,1091610030,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.98472222,26.63227778,2011-01-25,153.0,410.0,158.0,POINT (26.63227778 -26.98472222),5692,1091609920,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.398611,26.614722,2011-01-25,60.7,162.1,138.0,POINT (26.614722 -27.398611),5614,1091613580,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.818056,19.694722,2011-01-25,11.901,145.1,10.0,POINT (19.694722 -33.818056),2820,1091659560,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.45963889,28.26430556,2011-01-25,144.132,560.0,82.0,POINT (28.26430556 -25.45963889),1043,1091591390,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.897778,20.012778,2011-01-25,99.926,1368.0,56.0,POINT (20.012778 -33.897778),2804,1091659990,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.81048333,27.90955222,2011-01-26,110.0,652.0,10.0,POINT (27.90955222 -25.81048333),1068,1091597252,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.065833,20.404167,2011-01-26,68.815,758.0,10.0,POINT (20.404167 -34.065833),2800,1091660110,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.058889,31.237222,2011-01-26,70.928,306.4,15.0,POINT (31.237222 -24.058889),56,1091575660,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.648056,27.089444,2011-01-26,243.0,556.0,12.0,POINT (27.089444 -26.648056),5787,1091606940,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.880278,26.965,2011-01-26,217.0,535.0,176.0,POINT (26.965 -26.880278),5760,1091608460,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.273889,28.49,2011-01-26,56.863,140.9,29.0,POINT (28.49 -27.273889),6005,1091612082,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.044444,27.005,2011-01-26,82.651,220.5,96.0,POINT (27.005 -27.044444),5743,1091609740,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.092222,21.295278,2011-01-26,26.088,187.5,10.0,POINT (21.295278 -34.092222),2785,1091660140,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02314,28.59389,2011-01-27,113.459,167.3,12.0,POINT (28.59389 -27.02314),6003,1091610552,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.73806,27.59194,2011-01-27,63.354,199.9,56.0,POINT (27.59194 -26.73806),5877,1091607450,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.760833,17.730278,2011-01-30,84.627,230.7,33.0,POINT (17.730278 -28.760833),3307,1091626650,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.861111,28.884722,2011-01-31,82.136,182.3,109.0,POINT (28.884722 -26.861111),6020,1091609140,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.73806,27.59194,2011-01-31,56.127,318.5,30.0,POINT (27.59194 -26.73806),5877,1091607450,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.127778,27.628889,2011-02-01,128.967,377.0,163.0,POINT (27.628889 -25.127778),934,1091590040,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.69514,27.40906,2011-02-01,125.275,491.0,158.0,POINT (27.40906 -24.69514),867,1091584200,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.363611,31.783333,2011-02-01,69.459,186.9,10.0,POINT (31.783333 -27.363611),1373,1091613262,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.802778,28.768333,2011-02-01,43.422,116.9,13.0,POINT (28.768333 -27.802778),6073,1091616890,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.160278,26.573333,2011-02-01,110.418,255.6,86.0,POINT (26.573333 -29.160278),5378,1091629810,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.329722,18.990278,2011-02-01,9.639,159.1,10.0,POINT (18.990278 -34.329722),2875,1090015190,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.20639,27.558,2011-02-02,120.441,549.0,59.0,POINT (27.558 -25.20639),938,1091590110,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.281,30.54305556,2011-02-03,179.566,377.0,10.0,POINT (30.54305556 -23.281),154,1091564340,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.801278,31.955389,2011-02-03,267.057,1405.0,27.0,POINT (31.955389 -28.801278),1590,1091626910,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00222,28.76528,2011-02-03,77.106,184.2,25.0,POINT (28.76528 -27.00222),6016,1091609690,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02314,28.59389,2011-02-03,73.521,195.0,17.0,POINT (28.59389 -27.02314),6003,1091610552,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.3,28.586944,2011-02-03,79.329,175.8,18.0,POINT (28.586944 -27.3),6014,1091612920,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.679722,26.7125,2011-02-03,110.608,213.21,10.0,POINT (26.7125 -30.679722),5510,1091641150,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.460833,21.248889,2011-02-03,83.815,282.2,61.0,POINT (21.248889 -28.460833),3688,1091624350,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.460833,21.248889,2011-02-04,75.303,416.5,43.5,POINT (21.248889 -28.460833),3688,1091624350,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.140556,31.391944,2011-02-07,52.323,410.0,11.0,POINT (31.391944 -29.140556),1616,1090013072,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.99136,27.84208,2011-02-07,98.8,368.0,15.0,POINT (27.84208 -25.99136),1087,1091598610,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.058889,31.237222,2011-02-07,95.677,371.0,10.0,POINT (31.237222 -24.058889),56,1091575660,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
